entry_time,entry_price,direction,lot_size,sl_price,tp_price,mode,exit_time,exit_price,exit_reason,pnl,pnl_pips,confluence_score,confidence,fvg_bias
2025-09-25 14:00:00,1.34216,SELL,0.01,1.34448924902333,1.3375015019533403,VIRTUAL,2025-09-25 15:00:00,1.3375015019533403,TP,4.6584980466597425,46.58498046659742,89.5,HIGH,BEARISH_BIAS
2025-09-25 15:00:00,1.33838,SELL,0.01,1.3414126824868857,1.332314635026228,VIRTUAL,2025-09-29 03:00:00,1.3414126824868857,SL,-3.032682486885818,-30.326824868858182,100.0,HIGH,BEARISH_BIAS
2025-09-29 17:00:00,1.34182,SELL,0.01,1.3441744821193555,1.3371110357612888,VIRTUAL,2025-09-30 08:00:00,1.3441744821193555,SL,-2.3544821193555165,-23.544821193555165,95.5,HIGH,BEARISH_BIAS
2025-10-01 09:00:00,1.34663,SELL,0.01,1.3488285764058023,1.3422328471883953,VIRTUAL,2025-10-01 14:00:00,1.3488285764058023,SL,-2.198576405802344,-21.985764058023438,89.5,HIGH,BEARISH_BIAS
2025-10-02 17:00:00,1.34205,SELL,0.01,1.3447233736412931,1.3367032527174136,REAL,2025-10-02 21:00:00,1.3447233736412931,SL,-2.673373641293164,-26.73373641293164,100.0,HIGH,BEARISH_BIAS
2025-10-02 21:00:00,1.34468,SELL,0.013000000000000001,1.3472175975223502,1.3396048049553,REAL,2025-10-03 17:00:00,1.3472175975223502,SL,-3.2988767790550715,-25.375975223500546,85.0,HIGH,BEARISH_BIAS
2025-10-06 09:00:00,1.34419,SELL,0.016900000000000002,1.34633698153338,1.33989603693324,REAL,2025-10-06 10:00:00,1.34633698153338,SL,-3.6283987914123865,-21.4698153338011,95.5,HIGH,BEARISH_BIAS
2025-10-06 10:00:00,1.34436,SELL,0.021970000000000003,1.3467867173289294,1.3395065653421414,REAL,2025-10-06 17:00:00,1.3467867173289294,SL,-5.331497971657907,-24.267173289294064,80.5,HIGH,BEARISH_BIAS
2025-10-07 08:00:00,1.34599,SELL,0.028561000000000007,1.3476567648224713,1.3426564703550574,REAL,2025-10-07 13:00:00,1.3426564703550574,TP,9.520894018920565,33.33529644942601,85.0,HIGH,BEARISH_BIAS
2025-10-07 13:00:00,1.34257,SELL,0.01,1.344661004156352,1.3383879916872958,VIRTUAL,2025-10-07 18:00:00,1.344661004156352,SL,-2.0910041563519943,-20.910041563519943,89.5,HIGH,BEARISH_BIAS
2025-10-07 18:00:00,1.34402,SELL,0.01,1.346805490628773,1.338449018742454,VIRTUAL,2025-10-08 09:00:00,1.338449018742454,TP,5.570981257545959,55.709812575459594,80.5,HIGH,BEARISH_BIAS
2025-10-08 09:00:00,1.33967,SELL,0.01,1.3414659180193302,1.3360781639613393,VIRTUAL,2025-10-08 10:00:00,1.3414659180193302,SL,-1.7959180193303226,-17.959180193303226,95.5,HIGH,BEARISH_BIAS
2025-10-08 10:00:00,1.34173,SELL,0.01,1.3437524622834198,1.3376850754331606,VIRTUAL,2025-10-08 17:00:00,1.3437524622834198,SL,-2.0224622834197348,-20.224622834197348,80.5,HIGH,BEARISH_BIAS
2025-10-08 17:00:00,1.34211,SELL,0.01,1.3444910927087437,1.3373478145825124,VIRTUAL,2025-10-08 19:00:00,1.3373478145825124,TP,4.762185417487519,47.62185417487519,95.5,HIGH,BEARISH_BIAS
2025-10-08 19:00:00,1.33874,SELL,0.01,1.3415321985234565,1.3331556029530873,VIRTUAL,2025-10-09 04:00:00,1.3415321985234565,SL,-2.7921985234564684,-27.921985234564684,85.0,HIGH,BEARISH_BIAS
2025-10-09 10:00:00,1.33526,SELL,0.01,1.3379091550842734,1.3299616898314528,VIRTUAL,2025-10-09 12:00:00,1.3379091550842734,SL,-2.6491550842735467,-26.491550842735467,95.5,HIGH,BEARISH_BIAS
2025-10-09 12:00:00,1.33871,SELL,0.01,1.3416764764855211,1.332777047028958,VIRTUAL,2025-10-09 17:00:00,1.332777047028958,TP,5.932952971042128,59.32952971042127,80.5,HIGH,BEARISH_BIAS
2025-10-09 17:00:00,1.33323,SELL,0.01,1.3370509082650055,1.3255881834699887,VIRTUAL,2025-10-10 18:00:00,1.3370509082650055,SL,-3.820908265005585,-38.20908265005585,100.0,HIGH,BEARISH_BIAS
2025-10-14 09:00:00,1.32803,SELL,0.01,1.3307230973688182,1.3226438052623637,VIRTUAL,2025-10-14 18:00:00,1.3307230973688182,SL,-2.693097368818176,-26.93097368818176,85.0,HIGH,BEARISH_BIAS
2025-10-14 22:00:00,1.33256,SELL,0.01,1.3354915383498136,1.3266969233003727,VIRTUAL,2025-10-15 08:00:00,1.3354915383498136,SL,-2.931538349813634,-29.315383498136338,85.0,HIGH,BEARISH_BIAS
2025-10-15 15:00:00,1.3346,SELL,0.01,1.3370130552246322,1.3297738895507356,REAL,2025-10-15 18:00:00,1.3370130552246322,SL,-2.413055224632199,-24.13055224632199,95.5,HIGH,BEARISH_BIAS
2025-10-21 16:00:00,1.33766,SELL,0.013000000000000001,1.340368101570854,1.332243796858292,REAL,2025-10-22 10:00:00,1.332243796858292,TP,7.041064084220383,54.16203141707987,85.0,HIGH,BEARISH_BIAS
2025-10-22 10:00:00,1.33221,SELL,0.01,1.3345493089665952,1.3275313820668095,VIRTUAL,2025-10-22 17:00:00,1.3345493089665952,SL,-2.339308966595288,-23.393089665952882,95.5,HIGH,BEARISH_BIAS
2025-10-22 17:00:00,1.33548,SELL,0.01,1.3382787100231324,1.329882579953735,VIRTUAL,2025-10-24 17:00:00,1.329882579953735,TP,5.597420046264956,55.974200462649556,95.5,HIGH,BEARISH_BIAS
2025-10-24 17:00:00,1.33005,SELL,0.01,1.3336772058372235,1.3227955883255527,VIRTUAL,2025-10-24 23:00:00,1.33101,END,-0.9600000000000719,-9.600000000000719,100.0,HIGH,BEARISH_BIAS
